date,AAPL,AMZN,GOOGL,JPM,MSFT,NVDA,PFE,XOM
2016-03-14,0.01456586293191733,0.024323223871099718,0.016965413765441275,0.02471610026826873,0.017130726693607747,0.028008149865735847,0.013263932080037606,0.015594534624594371
2016-03-15,0.014776914039935632,0.02404633703213516,0.01679588006010857,0.02463182244072643,0.01716921863771859,0.028046323013011246,0.013557326604126082,0.015033316682561302
2016-03-16,0.014232172549606053,0.02286517445401333,0.016695039417911506,0.023926849637525553,0.01635144556973867,0.02706210942252251,0.013880892101312934,0.014275548390188478
2016-03-17,0.013943050296393145,0.022232445641608724,0.014937368829315685,0.02391736402700972,0.01605792123370608,0.027188322983475986,0.013756810385207829,0.011193562821023125
2016-03-18,0.01394784749500242,0.022348988199006634,0.01412045028042057,0.024303082589198718,0.016585473876253403,0.02753915885746003,0.013109723065487612,0.010837988893654775
2016-03-21,0.01277950794988853,0.018693020847671212,0.012301979062197627,0.024190077017082246,0.015111556193378211,0.02423157266257309,0.013631854690714306,0.010950457868756081
2016-03-22,0.012739937026479103,0.017776722480028265,0.012337266463342135,0.0238322423781134,0.014749051311454158,0.022059377696093837,0.013316812066638631,0.010751079647947121
2016-03-23,0.012836591972298536,0.01759426514169927,0.012315720637084355,0.023820429933922145,0.01473924073785513,0.022096798703153248,0.013013699254415043,0.010454050090827463
2016-03-24,0.01275092547491358,0.017763238637361192,0.012319071428996572,0.023740991753089337,0.014703984595089642,0.02203247199199233,0.012838390043107523,0.010259337328828146
2016-03-28,0.012713409851993523,0.01740822363717233,0.012332988649573667,0.02206518474868812,0.01495914850993721,0.021836626069285346,0.012766978221034045,0.010258288120089467
2016-03-29,0.013211503716912407,0.01776007029857683,0.012609725602485663,0.0162620679065623,0.015167396670724042,0.0218284831236869,0.012791138740956566,0.0098102359161224
2016-03-30,0.012686071293835645,0.01726881301832354,0.012389388174742886,0.016172198781314633,0.015089412540267858,0.020611200922591045,0.012495748907043303,0.009812856549709582
2016-03-31,0.012622935319503134,0.016997876273431793,0.012042537059217834,0.016209648610203027,0.014428394220275987,0.020542180682513126,0.012730559686957965,0.00993743992614934
